Name|Type|Size|Parent Directory
2be8fa1de664aa105964c709ceaf6da0133570|file|524|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\25
bbd5079c8cc6bb7c478051f43c2e7be07452d2|file|106|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\25
25|directory|630|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
4f30ed2537e3eeeb65a86ba7cb3963e599be11|file|147|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\2f
2f|directory|147|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
632f5204a010d843fb594e6a83ab590c8523fd|file|398|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\31
31|directory|398|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
688f611ecc4d34fbd4d6850335d96650f3f5d1|file|161|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\32
78346b34a0e0cd381d619897aee302b04d2c01|file|494|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\32
32|directory|655|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
cbc847aace3c060a71e4014f810ad6cb54b9a9|file|198|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\33
33|directory|198|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
f5d4536b0362cdddce8afa381e117a56d8b197|file|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\3c
3c|directory|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
417fe173e89f525fdc09544e0101ff6249a794|file|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\3d
3d|directory|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
8ee08a84975a02df1704f53c615398c904e7a3|file|270|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\40
40|directory|270|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
3afed25ce16bc1213e074093620ab6b55d47ff|file|133|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\43
43|directory|133|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
