Name|Type|Size|Parent Directory
task2.py|file|897|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Home
task3.py|file|3964|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Home
Home|directory|5464|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4
task2.py|file|625|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Seminar
task3.py|file|732|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Seminar
task4.py|file|582|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Seminar
task5.py|file|811|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Seminar
task6.py|file|368|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4\Seminar
Seminar|directory|3118|C:\Users\Marsel\pythonProject\DeepPyLearningGB\4
5|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
task1.py|file|541|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Home
task2.py|file|619|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Home
task3.py|file|802|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Home
task4.py|file|336|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Home
Home|directory|2298|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5
task2.py|file|436|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Seminar
task4.py|file|325|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Seminar
task5.py|file|912|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Seminar
task6.py|file|919|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5\Seminar
Seminar|directory|2592|C:\Users\Marsel\pythonProject\DeepPyLearningGB\5
6|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
Home|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6
main.py|file|983|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home\task1_2
task1_2|directory|983|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home
check_date.py|file|760|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home\task1_2\date_module
__init__.py|file|2|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home\task1_2\date_module
date_module|directory|762|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home\task1_2
check_date.cpython-311.pyc|file|1335|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home\task1_2\date_module\__pycache__
__init__.cpython-311.pyc|file|192|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home\task1_2\date_module\__pycache__
__pycache__|directory|1527|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6\Home\task1_2\date_module
Seminar|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\6
7|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
Home|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7
task1.py|file|1714|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task1
task1|directory|1714|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home
baiuhl.kms|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
bpkcpi.mp3|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
ggrbll.mp3|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
guvpjt.vbo|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
ijkhts.avi|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
inidwg.avi|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
kexwjt.flac|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
nqwkvd.ini|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
oaagev.aac|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
ohgvvt.ini|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
task2.py|file|1981|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
tzuijw.flac|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
vqkxbm.vbo|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
wdnauv.txt|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
yqnkgk.txt|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
zncmwe.avi|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home\task2
task2|directory|1981|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Home
task.txt|file|256|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Seminar
task1.py|file|487|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7\Seminar
Seminar|directory|743|C:\Users\Marsel\pythonProject\DeepPyLearningGB\7
8|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB
Home|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\8
task1.py|file|2275|C:\Users\Marsel\pythonProject\DeepPyLearningGB\8\Home\task1
task1|directory|2275|C:\Users\Marsel\pythonProject\DeepPyLearningGB\8\Home
Seminar|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\8
task1.py|file|2200|C:\Users\Marsel\pythonProject\DeepPyLearningGB\8\Seminar\task1
task1|directory|2200|C:\Users\Marsel\pythonProject\DeepPyLearningGB\8\Seminar
.gitignore|file|42|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv
pyvenv.cfg|file|297|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv
venv|directory|339|C:\Users\Marsel\pythonProject\DeepPyLearningGB
Lib|directory|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv
distutils-precedence.pth|file|151|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages
pip-22.3.1.virtualenv|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages
setuptools-65.5.1.virtualenv|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages
wheel-0.38.4.virtualenv|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages
_virtualenv.pth|file|18|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages
_virtualenv.py|file|5770|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages
site-packages|directory|5939|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib
py.typed|file|286|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip
__init__.py|file|357|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip
__main__.py|file|1198|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip
__pip-runner__.py|file|1444|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip
pip|directory|3285|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages
build_env.py|file|10234|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
cache.py|file|10734|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
configuration.py|file|13529|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
exceptions.py|file|20942|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
main.py|file|340|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
pyproject.py|file|7074|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
self_outdated_check.py|file|8020|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
wheel_builder.py|file|13079|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
__init__.py|file|573|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
_internal|directory|84525|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip
autocompletion.py|file|6676|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
base_command.py|file|7842|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
cmdoptions.py|file|29381|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
command_context.py|file|774|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
main.py|file|2472|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
main_parser.py|file|4338|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
parser.py|file|10817|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
progress_bars.py|file|1968|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
req_command.py|file|18172|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
spinners.py|file|5118|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
status_codes.py|file|116|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
__init__.py|file|132|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\cli
cli|directory|87806|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
cache.py|file|7582|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
check.py|file|1685|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
completion.py|file|4129|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
configuration.py|file|9815|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
debug.py|file|6573|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
download.py|file|5289|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
freeze.py|file|2951|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
hash.py|file|1703|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
help.py|file|1132|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
index.py|file|4762|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
inspect.py|file|3374|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
install.py|file|31726|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
list.py|file|12343|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
search.py|file|5697|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
show.py|file|6129|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
uninstall.py|file|3680|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
wheel.py|file|7396|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
__init__.py|file|3882|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\commands
commands|directory|119848|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
base.py|file|1221|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\distributions
installed.py|file|729|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\distributions
sdist.py|file|6494|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\distributions
wheel.py|file|1164|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\distributions
__init__.py|file|858|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\distributions
distributions|directory|10466|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
collector.py|file|16503|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\index
package_finder.py|file|37596|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\index
sources.py|file|6557|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\index
__init__.py|file|30|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\index
index|directory|60686|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
base.py|file|2573|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\locations
_distutils.py|file|6302|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\locations
_sysconfig.py|file|7867|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\locations
__init__.py|file|17552|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\locations
locations|directory|34294|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
base.py|file|25277|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata
pkg_resources.py|file|9773|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata
_json.py|file|2595|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata
__init__.py|file|4280|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata
metadata|directory|41925|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
_compat.py|file|1882|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata\importlib
_dists.py|file|8181|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata\importlib
_envs.py|file|7457|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata\importlib
__init__.py|file|107|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata\importlib
importlib|directory|17627|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\metadata
candidate.py|file|990|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
direct_url.py|file|5877|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
format_control.py|file|2520|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
index.py|file|1030|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
installation_report.py|file|2617|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
link.py|file|18083|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
scheme.py|file|738|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
search_scope.py|file|4644|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
selection_prefs.py|file|1907|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
target_python.py|file|3858|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
wheel.py|file|3600|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
__init__.py|file|63|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\models
models|directory|45927|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
auth.py|file|12190|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
cache.py|file|2145|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
download.py|file|6096|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
lazy_wheel.py|file|7638|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
session.py|file|18443|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
utils.py|file|4073|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
xmlrpc.py|file|1791|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
__init__.py|file|50|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\network
network|directory|52426|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
check.py|file|5109|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations
freeze.py|file|9784|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations
prepare.py|file|25091|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations
__init__.py|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations
operations|directory|39984|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
build_tracker.py|file|4133|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
metadata.py|file|1404|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
metadata_editable.py|file|1456|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
metadata_legacy.py|file|2198|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
wheel.py|file|1063|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
wheel_editable.py|file|1405|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
wheel_legacy.py|file|3064|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
__init__.py|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\build
build|directory|14723|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations
editable_legacy.py|file|1354|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\install
legacy.py|file|4105|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\install
wheel.py|file|27407|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\install
__init__.py|file|51|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations\install
install|directory|32917|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\operations
constructors.py|file|16611|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\req
req_file.py|file|17646|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\req
req_install.py|file|35600|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\req
req_set.py|file|2858|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\req
req_uninstall.py|file|24045|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\req
__init__.py|file|2807|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\req
req|directory|99567|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
base.py|file|583|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution
__init__.py|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution
resolution|directory|583|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
resolver.py|file|24129|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\legacy
__init__.py|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\legacy
legacy|directory|24129|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution
base.py|file|5220|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
candidates.py|file|18963|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
factory.py|file|27878|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
found_candidates.py|file|5705|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
provider.py|file|9914|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
reporter.py|file|2526|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
requirements.py|file|5455|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
resolver.py|file|11533|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
__init__.py|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
resolvelib|directory|87194|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\resolution
appdirs.py|file|1665|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
compat.py|file|1884|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
compatibility_tags.py|file|5377|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
datetime.py|file|242|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
deprecation.py|file|5764|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
direct_url_helpers.py|file|3206|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
distutils_args.py|file|1115|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
egg_link.py|file|2203|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
encoding.py|file|1169|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
entrypoints.py|file|3064|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
filesystem.py|file|5122|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
filetypes.py|file|716|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
glibc.py|file|3110|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
hashes.py|file|4831|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
inject_securetransport.py|file|795|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
logging.py|file|11632|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
misc.py|file|21617|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
models.py|file|1193|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
packaging.py|file|2108|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
setuptools_build.py|file|5662|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
subprocess.py|file|9197|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
temp_dir.py|file|7702|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
unpacking.py|file|8821|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
urls.py|file|1759|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
virtualenv.py|file|3459|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
wheel.py|file|4549|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
_log.py|file|1015|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
__init__.py|file|0|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\utils
utils|directory|118977|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
bazaar.py|file|3518|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\vcs
git.py|file|18116|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\vcs
mercurial.py|file|5238|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\vcs
subversion.py|file|11728|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\vcs
versioncontrol.py|file|22811|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\vcs
__init__.py|file|596|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal\vcs
vcs|directory|62007|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_internal
six.py|file|34549|C:\Users\Marsel\pythonProject\DeepPyLearningGB\venv\Lib\site-packages\pip\_vendor
